date,caap.cases.4,rsv.caap.cases.4,caap.cases.4.11,rsv.caap.cases.4.11,caap.cases.6,caap.cases.6.J,caap.cases.6.B,rsv.caap.cases.6,rsv.caap.cases.6.J,rsv.caap.cases.6.B,caap.cases.6.11,caap.cases.6.11.J,caap.cases.6.11.B,rsv.caap.cases.6.11,rsv.caap.cases.6.11.J,rsv.caap.cases.6.11.B,caap.cases.12,caap.cases.12.J,caap.cases.12.B,rsv.caap.cases.12,rsv.caap.cases.12.J,rsv.caap.cases.12.B,bronch.cases.6.J,bronch.cases.6.B,bronch.cases.6,rsv.bronch.cases.6.J,rsv.bronch.cases.6.B,rsv.bronch.cases.6,bronch.cases.6.11.J,bronch.cases.6.11.B,bronch.cases.6.11,rsv.bronch.cases.6.11.J,rsv.bronch.cases.6.11.B,rsv.bronch.cases.6.11,bronch.cases.12,bronch.cases.12.J,bronch.cases.12.B,rsv.bronch.cases.12,rsv.bronch.cases.12.J,rsv.bronch.cases.12.B,pop.12,pop.12.J,pop.12.B,caap.cases.12.23,rsv.caap.cases.12.23,pop.12.23,caap.cases.24.59,rsv.caap.cases.24.59,pop.24.59,caap.cases.60,rsv.caap.cases.60,pop.60,caap.cases.4.J,caap.cases.4.B,rsv.caap.cases.4.J,rsv.caap.cases.4.B,caap.cases.4.11.J,caap.cases.4.11.B,rsv.caap.cases.4.11.J,rsv.caap.cases.4.11.B,bronch.cases.4.J,bronch.cases.4.B,bronch.cases.4,bronch.cases.4.11.J,bronch.cases.4.11.B,bronch.cases.4.11,rsv.bronch.cases.4.J,rsv.bronch.cases.4.B,rsv.bronch.cases.4,rsv.bronch.cases.4.11.J,rsv.bronch.cases.4.11.B,rsv.bronch.cases.4.11
2004-07-01,2,0,8,0,4,1,3,0,0,0,6,3,3,0,0,0,10,4,6,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,2,2,0,0,1,0,14404,7390,7014,7,0,14805,9,0,42025,26,0,71233,0,2,0,0,0,4,0,0,1,0,1,1,0,1,0,0,0,1,0,1
2004-08-01,0,0,4,0,0,0,0,0,0,0,4,1,3,0,0,0,4,1,3,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,14389,7390,6999,3,0,14771,2,0,42118,9,0,71278,0,0,0,0,0,3,0,0,0,1,1,0,2,2,0,0,0,0,0,0
2004-09-01,1,0,3,0,1,1,0,0,0,0,3,0,3,0,0,0,4,1,3,0,0,0,3,5,8,0,0,0,1,0,1,0,0,0,9,4,5,0,0,0,14374,7390,6984,3,0,14738,6,0,42212,13,0,71324,1,0,0,0,1,3,0,0,2,5,7,2,0,2,0,0,0,0,0,0
2004-10-01,2,0,2,0,3,0,3,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,0,6,6,0,0,0,1,0,1,0,0,0,7,1,6,0,0,0,14359,7390,6969,4,0,14704,4,0,42306,12,0,71369,0,2,0,0,0,2,0,0,0,5,5,1,1,2,0,0,0,0,0,0
2004-11-01,2,0,13,1,6,2,4,0,0,0,9,2,7,1,0,1,15,4,11,1,0,1,4,6,10,1,1,3,1,2,3,1,0,1,13,5,8,3,2,1,14344,7390,6954,12,1,14671,16,2,42400,43,3,71414,0,2,0,0,0,9,0,1,4,6,10,1,2,3,1,1,3,1,0,1
2004-12-01,14,8,15,3,19,1,18,10,1,9,10,3,7,2,0,2,29,4,25,11,1,11,10,30,40,4,22,26,5,3,8,4,1,5,48,15,33,30,8,22,14328,7389,6939,17,6,14638,11,3,42493,57,20,71459,0,14,0,8,0,11,0,2,7,22,29,8,11,19,3,16,19,5,6,10
2005-01-01,25,18,32,9,34,2,32,21,1,20,23,4,19,6,2,4,57,6,51,27,3,24,39,122,161,26,97,124,16,32,48,9,18,27,209,55,154,151,36,115,14313,7389,6924,20,11,14604,18,8,42587,95,46,71505,1,24,1,17,1,27,2,8,27,94,121,28,60,88,19,74,93,17,40,57
2005-02-01,30,18,34,13,43,7,36,22,3,19,21,7,14,8,4,4,64,14,50,30,7,23,37,141,178,27,102,129,13,29,42,10,16,26,220,50,170,155,37,118,14298,7389,6909,15,8,14571,22,11,42681,101,49,71550,4,26,3,15,4,24,4,9,27,114,141,23,56,79,19,85,104,18,33,50
2005-03-01,11,5,15,4,18,3,15,6,1,5,8,2,6,3,1,2,26,5,21,9,2,7,16,51,67,11,29,39,4,8,12,4,4,8,79,20,59,47,14,33,14283,7389,6894,13,3,14538,16,5,42775,55,17,71595,2,9,1,4,2,12,1,3,14,32,46,6,27,33,9,19,29,5,12,16
2005-04-01,3,1,8,1,6,0,6,0,0,0,5,3,2,1,1,0,11,3,8,1,1,0,3,15,18,2,3,4,0,3,3,0,1,1,21,3,18,5,2,3,14268,7389,6879,12,1,14504,7,0,42868,30,1,71640,0,3,0,1,0,5,1,0,3,10,13,0,8,8,2,2,3,0,2,2
