Date,Time,Inc_CAAP_12,Pop_12,CAAP_Cases
2004-07-01,1,0.694251597,14404,10
2004-08-01,2,0.277700639,14404,4
2004-09-01,3,0.277700639,14404,4
2004-10-01,4,0.277700639,14404,4
2004-11-01,5,1.041377395,14404,15
2004-12-01,6,2.013329631,14404,29
2005-01-01,7,3.957234102,14404,57
2005-02-01,8,4.443210219,14404,64
2005-03-01,9,1.805054152,14404,26
2005-04-01,10,0.763676756,14404,11
2005-05-01,11,0.902527076,14404,13
2005-06-01,12,0.833101916,14404,12
2005-07-01,13,0.281244507,14222.5,4
2005-08-01,14,0.351555634,14222.5,5
2005-09-01,15,0.281244507,14222.5,4
2005-10-01,16,0.703111267,14222.5,10
2005-11-01,17,0.632800141,14222.5,9
2005-12-01,18,0.773422394,14222.5,11
2006-01-01,19,3.374934083,14222.5,48
2006-02-01,20,4.499912111,14222.5,64
2006-03-01,21,3.86711197,14222.5,55
2006-04-01,22,1.406222535,14222.5,20
2006-05-01,23,0.914044648,14222.5,13
2006-06-01,24,0.351555634,14222.5,5
2006-07-01,25,0.620689655,14500,9
2006-08-01,26,0.620689655,14500,9
2006-09-01,27,0.551724138,14500,8
2006-10-01,28,0.620689655,14500,9
2006-11-01,29,0.413793103,14500,6
2006-12-01,30,0.75862069,14500,11
2007-01-01,31,4.482758621,14500,65
2007-02-01,32,5.724137931,14500,83
2007-03-01,33,4.482758621,14500,65
2007-04-01,34,0.965517241,14500,14
2007-05-01,35,0.75862069,14500,11
2007-06-01,36,0.75862069,14500,11
2007-07-01,37,0.874184655,14871,13
2007-08-01,38,0.20173492,14871,3
2007-09-01,39,0.20173492,14871,3
2007-10-01,40,0.470714814,14871,7
2007-11-01,41,0.605204761,14871,9
2007-12-01,42,1.210409522,14871,18
2008-01-01,43,3.026023805,14871,45
2008-02-01,44,5.110617981,14871,76
2008-03-01,45,3.765718513,14871,56
2008-04-01,46,1.008674602,14871,15
2008-05-01,47,0.874184655,14871,13
2008-06-01,48,0.739694708,14871,11
2008-07-01,49,0.329456726,15176.5,5
2008-08-01,50,0.395348071,15176.5,6
2008-09-01,51,0.263565381,15176.5,4
2008-10-01,52,0.724804797,15176.5,11
2008-11-01,53,1.91084901,15176.5,29
2008-12-01,54,5.337198959,15176.5,81
2009-01-01,55,4.546502817,15176.5,69
2009-02-01,56,2.0426317,15176.5,31
2009-03-01,57,2.0426317,15176.5,31
2009-04-01,58,1.449609594,15176.5,22
2009-05-01,59,0.988370178,15176.5,15
2009-06-01,60,0.724804797,15176.5,11
2009-07-01,61,0.513841608,15569,8
2009-08-01,62,0.321151005,15569,5
2009-09-01,63,0.578071809,15569,9
2009-10-01,64,0.899222815,15569,14
2009-11-01,65,1.413064423,15569,22
2009-12-01,66,1.413064423,15569,22
2010-01-01,67,2.954589248,15569,46
2010-02-01,68,5.266876485,15569,82
2010-03-01,69,4.174963068,15569,65
2010-04-01,70,1.605755026,15569,25
2010-05-01,71,0.899222815,15569,14
2010-06-01,72,0.578071809,15569,9
2010-07-01,73,0.50457269,15855,8
2010-08-01,74,0.567644276,15855,9
2010-09-01,75,0.252286345,15855,4
2010-10-01,76,0.378429518,15855,6
2010-11-01,77,1.639861243,15855,26
2010-12-01,78,3.279722485,15855,52
2011-01-01,79,7.631661936,15855,121
2011-02-01,80,3.216650899,15855,51
2011-03-01,81,1.072216966,15855,17
2011-04-01,82,0.50457269,15855,8
2011-05-01,83,0.441501104,15855,7
2011-06-01,84,0.567644276,15855,9
2011-07-01,85,0.365541611,16414,6
2011-08-01,86,0.121847204,16414,2
2011-09-01,87,0.243694407,16414,4
2011-10-01,88,0.365541611,16414,6
2011-11-01,89,0.304618009,16414,5
2011-12-01,90,1.096624832,16414,18
2012-01-01,91,2.558791276,16414,42
2012-02-01,92,3.289874497,16414,54
2012-03-01,93,1.827708054,16414,30
2012-04-01,94,1.035701231,16414,17
2012-05-01,95,0.426465213,16414,7
2012-06-01,96,0.487388814,16414,8
2012-07-01,97,0.356209926,16844,6
2012-08-01,98,0.178104963,16844,3
2012-09-01,99,0.296841605,16844,5
2012-10-01,100,0.237473284,16844,4
2012-11-01,101,0.653051532,16844,11
2012-12-01,102,1.424839706,16844,24
2013-01-01,103,3.621467585,16844,61
2013-02-01,104,2.493469485,16844,42
2013-03-01,105,1.009261458,16844,17
