date,caap.cases,rsv.caap.cases,bronch.cases,rsv.bronch.cases,pop.12
2004-07-01,10,0,2,2,14404
2004-08-01,4,0,3,0,14388.875
2004-09-01,4,0,9,0,14373.75
2004-10-01,4,0,7,0,14358.625
2004-11-01,15,0,13,1.857142857,14343.5
2004-12-01,29,4.833333333,48,26.18181818,14328.375
2005-01-01,57,19.69090909,209,153.0178571,14313.25
2005-02-01,64,21.33333333,220,154.8148148,14298.125
2005-03-01,26,4.588235294,79,43.32258065,14283
2005-04-01,11,0,21,3.5,14267.875
2005-05-01,13,0,13,0,14252.75
2005-06-01,12,2.4,8,2,14237.625
2005-07-01,4,0,3,0,14222.5
2005-08-01,5,0,2,0,14245.625
2005-09-01,4,0,4,0,14268.75
2005-10-01,10,0,6,0,14291.875
2005-11-01,9,0,12,2,14315
2005-12-01,11,1.571428571,38,23.22222222,14338.125
2006-01-01,48,20.09302326,158,138.0421053,14361.25
2006-02-01,64,23.14893617,226,168.5423729,14384.375
2006-03-01,55,10.3125,120,65.45454545,14407.5
2006-04-01,20,1.111111111,36,13.71428571,14430.625
2006-05-01,14,1.166666667,8,1.333333333,14453.75
2006-06-01,5,0,1,0,14476.875
2006-07-01,9,0,3,0,14500
2006-08-01,9,0,2,0,14530.91667
2006-09-01,8,0,4,2,14561.83333
2006-10-01,9,0,8,0,14592.75
2006-11-01,6,0,7,3.5,14623.66667
2006-12-01,11,2.75,34,16.37037037,14654.58333
2007-01-01,65,21.95945946,182,130,14685.5
2007-02-01,84,48.63157895,270,218.5714286,14716.41667
2007-03-01,65,33.8,124,89.55555556,14747.33333
2007-04-01,14,0,16,8,14778.25
2007-05-01,11,0,4,0,14809.16667
2007-06-01,11,0,4,0,14840.08333
2007-07-01,13,0,6,0,14871
2007-08-01,3,0,1,0,14896.45833
2007-09-01,3,0,1,0,14921.91667
2007-10-01,7,0,3,1.5,14947.375
2007-11-01,9,0,10,7.5,14972.83333
2007-12-01,18,5.142857143,63,54.25,14998.29167
2008-01-01,46,18.87179487,153,128.3225806,15023.75
2008-02-01,76,27.63636364,160,101.8181818,15049.20833
2008-03-01,56,20.25531915,65,44.31818182,15074.66667
2008-04-01,15,0,14,5.6,15100.125
2008-05-01,13,0,4,4,15125.58333
2008-06-01,11,0,4,0,15151.04167
2008-07-01,5,0,3,0,15176.5
2008-08-01,6,0,0,0,15209.20833
2008-09-01,4,0,3,0,15241.91667
